Company Name,Website URL,Contact Number,Location/Address,Industry/Category,Company Description,Email Address
Geeks On Site,,,,IT Services,,
My Computer Works,,(800) 262-2219,,IT Services,"Nice support from their office thanks for everything i will visit them again for sure. Great service.""",
Geeks On Site,,(800) 531-2349,,IT Services,"From Business: If you are in a crunch, Geeks on Site can help you get things back up and running quickly with extensive PC repair service. Depending on your issue, we can…",
My Computer Works,,(877) 201-0623,,IT Services,"From Business: Our professional and polite U.S. based technicians can solve your PC or MAC problems, and their devices from the comfort of your own home. Through remote…",
Geeks on Site,,(877) 223-4607,,IT Services,"From Business: With over 20 years of experience Geeks OnSite offers everything from computer and printer repair, software sales and service, home theater installation, home…",
Actnet Computer,http://www.actnetonline.com/,(415) 661-9020,2207 Judah St,IT Services,,
Mission TV Repair,,(415) 585-2901,,IT Services,From Business: TV Repair On All Brands VCR DVD STEREO REPAIR OLDER MODELS ALL APPLIANCES Reasonable Rates. SMART PHONE REPAIR WE SELL GOOD USED EQUIPMENT AT LOW PRICES. FREE…,
Bay Computer Repair,http://www.northbaycomputer.com/,(415) 863-8820,151 Valencia St,IT Services,My Sony laptop stopped working while I was visiting my brother in San Francisco. We called Bay Computer Repair and they told us to bring it in. The tech was friendly and…,
Love Haight Computers,http://www.lovehaightcomputers.com/,(415) 799-4600,473A Haight St,IT Services,"Everything you want in a local business - excellent service, pricing, and most of all - a customer approach that made sure we were happy with the final product. I don't know…",
Castro Computer Services,http://www.castrocomputerservices.com/,(415) 826-6678,1500 Castro St,IT Services,From Business: Castro Computer Services is one of the leading providers of computer repair solutions in the world. It offers a range of information technology (IT) solutions…,
911PCFix Emergency Repair,,(415) 477-3336,,IT Services,From Business: Computer Repair - 911 PC FIX . com is here to help you get your computer problems fixed right away! Deciding on the right computer repair company can be…,
Enterprise Communications LLC,,(415) 295-6195,216 4th St,IT Services,"I hired Enterprise Communications to wire my house for network and phone. They were everything I could have wanted -- professional, punctual, very communicative about what…",
Smart Computer Service,http://www.smartcomputerservice.com/,(415) 751-1266,3410 Geary Blvd,IT Services,"Their techs know what they are doing. They gave me a reasonable estimate price, and fixed my computer within a day. great work!""",
Lazarus Data Recovery,http://www.lazarus.com/,(415) 495-5556,379 Clementina St,IT Services,"Prompt Professional and Proficient Service at Reasonable Prices.I've never been disappointed""",
Apple Stonestown,https://www.apple.com/retail/stonestown?cid=aos-us-seo-maps,(415) 571-2780,3251 20th Ave,IT Services,"Agents seemed very helpful though it was kind of packed when i was in there.""",
GTrontech Grp,,(415) 424-6023,130 Bush St Fl 5,IT Services,Excellent service thank you fur restoring our data and fixing our home network We had intermittent problems And had 4 techs onsite none was efficient except Gtrontech Best of…,
San Francisco Computer Rental,http://sfcomputerrental.com/,(415) 617-5622,,IT Services,Great guys! Affordable computer rentals too. I was in desperate need of renting a mac since my Macbook went haywire and I was able to get one within the same day when I called.…,
GTRONTECH,http://www.gtrontech.com/,(415) 424-1684,88 Chenery st Unit 1,IT Services,"Great service, we hired GtronTech for our broken laptop, the screen was replaced professionally and our security problems with viruses has been restored to its perfect shape..…",
Ocean Electornic Co.,,(415) 333-9633,1310 Ocean Ave,IT Services,"I couldn't come up with words to describe how happy I was when they repaired my computer. It's my life, and they help bring it back.""",
Computer Repairs and Rentals,,(415) 466-6904,5420 Mission St,IT Services,"Computer Repair Home Service is offering its own services in Delhi NCR at an affordable cost. Visit Our Wesite:https://www.hplaptopserviceindia.com/""",
E Blue Wave Solutions,,(415) 522-0191,425 Divisadero St,IT Services,"Beware of this company, they owe me for months of work. They ripped off me and the company I contracted with through Bluewave. They belong in jail. Bluewave owes me for…",
LyteSpeed Tech,,(415) 935-9895,254 16th Ave,IT Services,"From Business: LyteSpeed Tech performs computer repair for clients in the greater San Francisco Bay Area. We specialize in software and hardware upgrades, network and internet…",
PC of Mine,,(415) 251-6108,1728 Ocean Ave # 135,IT Services,From Business: - troubleshooting and diagnostic - computer consulting - network consulting - upgrades - hardware - upgrades - software - computer repair - hardware - computer…,
Diamond Technology Inc,http://diamondti.com/,(415) 422-0074,567 Sutter St,IT Services,From Business: Diamond Technology's 15 years of experience and award winning IT support allows you to focus on the things that matter the most to growing your business. Why…,
DE iPhone Repair,https://www.cellphonerepair.com/san-francisco-ca,(415) 366-0771,2525 Van Ness Ave,IT Services,"From Business: Established in 2012, CPR Cell Phone Repair San Francisco is a local electronics repair shop specializing in the repair of iPhone, Mac, Samsung, iPad, and…",
Lasertorium Printer Copier Repair,http://www.lasertorium.com/,(415) 681-6308,390 Market St,IT Services,"From Business: Lasertorium Office Systems© has been serving the Bay Area since 1992. We are a family owned and operated business, specializing in professional service and sales…",
Carnatech Computer Services & Repair Center,http://www.carnatech.com/,(415) 424-5530,3490 Cesar Chavez,IT Services,"From Business: Computer Repair Center in San Francisco. On Site and In Store services are avaliable. Free Diagnostic, Affordable Prices, Fast Service, Money Back Guarantee. We…",
Inter-communications,http://www.inter-communications.com/,(888) 861-2679,PO Box 1909111,IT Services,From Business: Inter communications US a trusted and reliable copier. Printer. FAX machine. Plotter service Company. We have 2 hours response time from the minute YOU call.,
"Gagy I.T. Resources,",https://gagyresources.com/,(415) 857-5175,1108 Brazil Ave,IT Services,"From Business: Through a personal visit I will help you diagnose and resolve your computer and network issue. By building a partnership with you and working transparently, my…",
Lasertorium Printer-Copier Repair,http://www.lasertorium.com/,(415) 681-6308,2200 Judah St,IT Services,"From Business: Lasertorium offers both On-site or drop off repair of Laser products: Printers, Copiers and Scanner of various brands, including Canon, Hewlett-Packard, Ricoh,…",
Geek Squad,,(415) 626-9682,1717 Harrison St,IT Services,"From Business: Our Agents provide repair, installation and setup services on all kinds of tech at more than 1,100 Best Buy stores – including computer & tablet repair, setup…",
Central Computers,http://www.centralcomputers.com/,(415) 495-5888,837 Howard St,IT Services,,
DataTech Labs Data Recovery,http://datatechlab.com/data-recovery-labs/data-recovery-in-san-francisco,(415) 357-1700,350 Rhode Island St Ste 240-243,IT Services,"From Business: Specializes in Hard Drive Data Recovery, RAID Data Recovery, Flash Drive Data Recovery, and Camera Card Data Recovery.",
TeamLogic IT,https://www.teamlogicit.com/sanfranciscoca537,(415) 795-9872,530 Howard St Ste 350,IT Services,"From Business: Named two-time MSP of the Year, TeamLogic IT is a national provider of technology solutions that businesses rely on for best-in-class managed IT services. Local…",
Fusionstorm,,(415) 623-2626,2 Bryant St Ste 150,IT Services,,
Centarus IT Support & Managed IT Services,http://www.centarus.co/,(415) 675-8107,1485 Bay Shore Blvd Ste 154,IT Services,From Business: Centarus is a SOC2 certified Managed IT and Cybersecurity provider dedicated to providing reliable support to firms that want to increase efficiency and stay…,
911 PC Help,http://www.911pchelp.net/,(415) 800-1130,1485 Bay Shore Blvd Ste 479,IT Services,"From Business: 911 PC Help provides technical support services for businesses. We specialize in co-managed IT, virus removal, computer repair, network setup, data recovery,…",
Techsedo,,(415) 738-0613,77 Van Ness Ave,IT Services,,
Siri Iphone Repairs,,(415) 994-4867,1355 Market St,IT Services,From Business: Iphone and ipad repair technician on call services AT your preferred time and location. Just call and we come to your location to FIX your Apple devices LCD/…,
VFIX Onsite Computer Service,http://www.myvfix.com/,(855) 955-8349,123 10th St,IT Services,From Business: Let us do the job at your home its very convenient. Why would you go to all the way to computer repair shop to just fix your computer? Did you know Reselling…,
Advanced Technical Service & Supplies,http://www.atss-ca.com/,(415) 467-8601,601 Van Ness Ave Apt E-445,IT Services,,
JMC Consulting,,(415) 424-4344,60 Rausch St Apt 303,IT Services,,
HP Customer Service,,(800) 490-6920,88 Hoff St,IT Services,From Business: HP Customer Service is the leading tech support company which provides an instant technical support for its customer all over the US. Our experienced team…,
Aaamobiletechsupport.Com,http://www.aaamobiletechsupport.com/,(415) 920-9247,901 Mission St,IT Services,"From Business: We work for ""Silver Dollars."" It is a value driven company. Our company is your best source for professional comprehensive service. We have different level of…",
Micromender,https://www.micromenders.com/,(415) 808-0600,1388 Sutter St,IT Services,"From Business: If customers are searching for an intelligent IT partner, MicroMenders is a perfect union between technology and business. The company provides technology…",
Ipsofacto It Services,https://ipsofacto.net/,(415) 362-2922,2238 Market St,IT Services,From Business: Looking For The Best IT Service and Network Support In San Francisco (SF Bay Area)? IPSOFACTO Has Been The Top Choice For Bay Area Businesses For Over 20 Years.…,
Keane Mac Repair,,(415) 835-9800,870 Market St Ste 1090,IT Services,,
H2 Consultants Inc,http://www.h2consultants.com/,(415) 689-3900,1770 Post St # 146,IT Services,"From Business: H2 Consultants provides full IT, BIM, CAD management and consulting services. Our focus is on providing customized, intelligent IT solutions and CAD/BIM support…",
Secure Data Recovery Services,https://www.securedatarecovery.com/locations/california/san-francisco,(415) 354-5625,837 Howard St,IT Services,From Business: Professional Data Recovery Services in San Francisco.Secure Data Recovery Services operates world-class data recovery labs across North America. Each undergoes…,
Compu-Data,http://www.compu-data.net/,(415) 495-3422,855 Folsom St,IT Services,,
